CustomerID,Age,Gender,Income,VisitFrequency,AverageSpend,PreferredCuisine,TimeOfVisit,GroupSize,DiningOccasion,MealType,OnlineReservation,DeliveryOrder,LoyaltyProgramMember,WaitTime,ServiceRating,FoodRating,AmbianceRating,HighSatisfaction
994,32,Female,23954.89802,Weekly,67.65462489,Italian,Lunch,7,Business,Dine-in,1,1,0,28.75,1,1,1,0
1031,41,Male,101619.71,Weekly,161.9277813,American,Breakfast,1,Business,Takeaway,0,0,1,22.74,1,1,1,0
1044,67,Female,98381.92664,Monthly,157.8528425,American,Dinner,7,Business,Dine-in,0,0,1,35.6,1,1,1,0
1052,28,Male,45573.30077,Rarely,82.53919448,American,Dinner,4,Business,Takeaway,1,0,1,52.8,1,1,2,0
1077,42,Male,144555.8548,Weekly,156.6424686,Italian,Lunch,4,Casual,Takeaway,1,0,0,56.92,1,1,2,0
1102,32,Female,121763.6654,Monthly,151.4705025,Mexican,Breakfast,9,Business,Dine-in,1,1,0,11.86,2,1,1,0
1104,36,Male,81556.60451,Weekly,109.7396753,American,Lunch,3,Business,Takeaway,1,0,1,11.29,1,1,2,0
1126,35,Male,126893.0447,Monthly,157.4890078,Italian,Breakfast,5,Business,Dine-in,0,0,1,46.15,2,1,1,0
1132,39,Male,56014.40404,Monthly,75.45122332,Mexican,Breakfast,8,Casual,Dine-in,0,0,0,47.29,2,1,1,0
1141,21,Female,48075.25998,Monthly,148.4017829,Indian,Dinner,2,Celebration,Dine-in,0,1,1,16.31,2,1,1,0
1149,19,Male,48611.55022,Weekly,85.68150238,American,Lunch,6,Business,Takeaway,1,0,1,48.26,1,1,2,0
1151,62,Female,128540.3066,Monthly,147.7412535,Chinese,Dinner,8,Celebration,Dine-in,0,1,0,12.07,2,1,1,0
1153,36,Male,77911.00135,Weekly,121.8509736,Italian,Lunch,5,Business,Dine-in,1,0,0,13.91,1,1,2,0
1163,32,Female,120804.2494,Monthly,165.5757014,Mexican,Dinner,9,Casual,Takeaway,1,0,1,44.07,2,1,1,0
1170,24,Female,26781.58594,Monthly,51.88485159,Indian,Lunch,2,Casual,Takeaway,1,0,0,40.32,2,1,1,0
1172,69,Female,44753.66153,Weekly,78.2541803,American,Breakfast,7,Business,Takeaway,0,0,0,58.84,1,2,1,0
1179,30,Male,121630.5895,Rarely,186.0484954,American,Breakfast,5,Business,Dine-in,1,0,0,50.72,1,2,1,0
1191,49,Male,87261.22228,Weekly,156.0303637,Chinese,Breakfast,2,Business,Takeaway,0,0,1,26.22,1,2,1,0
1209,42,Female,76242.61517,Rarely,128.0274214,American,Dinner,9,Casual,Takeaway,0,0,1,50.27,2,1,1,0
1211,67,Male,111554.2091,Monthly,190.1938918,Chinese,Dinner,5,Business,Takeaway,0,0,1,6.17,1,1,2,0
1224,32,Female,149820.0919,Monthly,195.2339748,Indian,Dinner,8,Casual,Takeaway,0,1,1,33.47,2,1,1,0
1309,49,Male,79216.09217,Monthly,155.7463859,American,Breakfast,2,Celebration,Takeaway,0,0,0,29,2,1,1,0
1312,26,Male,94758.4238,Rarely,157.696438,Chinese,Lunch,9,Casual,Takeaway,1,1,0,37.56,2,1,1,0
1324,43,Male,65004.42596,Monthly,130.9333452,Mexican,Breakfast,6,Business,Dine-in,1,0,0,58.56,1,2,1,0
1399,33,Male,60168.28093,Weekly,109.9935594,Indian,Dinner,5,Casual,Takeaway,1,0,1,12.63,1,1,2,0
1401,51,Male,64073.08534,Weekly,125.2868637,Italian,Dinner,5,Business,Takeaway,0,1,1,58.55,1,1,2,0
1410,39,Female,112758.5895,Weekly,145.8088739,American,Lunch,8,Celebration,Dine-in,0,1,1,10.57,2,1,1,0
1423,61,Male,148469.2428,Rarely,171.1747733,Mexican,Lunch,5,Casual,Dine-in,1,0,0,47.68,1,2,1,0
1441,25,Male,83405.9004,Monthly,155.0846111,Mexican,Breakfast,3,Casual,Takeaway,0,0,0,12.73,2,1,1,0
1453,46,Male,128823.7807,Monthly,150.349197,Italian,Dinner,9,Business,Takeaway,1,0,0,9.93,1,1,2,0
1462,21,Female,90842.78063,Rarely,123.9850565,Italian,Dinner,4,Celebration,Dine-in,0,0,0,45.74,1,2,1,0
1478,56,Male,120820.4874,Rarely,143.1340398,Mexican,Dinner,5,Celebration,Takeaway,0,0,0,25.64,1,1,2,0
1526,28,Female,118761.4039,Rarely,186.5101823,American,Dinner,4,Business,Takeaway,0,0,1,57.62,1,2,1,0
1531,24,Female,108257.9398,Weekly,133.9395231,Italian,Dinner,8,Celebration,Takeaway,0,1,0,49.98,1,2,1,0
1569,24,Female,23171.10763,Weekly,41.82495311,Chinese,Breakfast,8,Celebration,Dine-in,0,0,0,38.47,2,1,1,0
1579,43,Female,114619.0655,Monthly,184.3725476,Indian,Dinner,1,Casual,Dine-in,0,1,0,52.85,1,1,2,0
1586,56,Female,80530.9305,Rarely,156.2244785,Chinese,Lunch,2,Celebration,Takeaway,0,0,0,20.63,1,2,1,0
1598,56,Male,145218.185,Weekly,149.1102523,American,Lunch,6,Business,Takeaway,0,0,1,56.4,1,1,2,0
1605,67,Male,128361.277,Rarely,176.0417779,Chinese,Breakfast,6,Celebration,Dine-in,0,0,0,5.92,1,2,1,0
1625,69,Male,138156.7417,Rarely,205.6087249,Italian,Dinner,3,Celebration,Dine-in,0,1,1,42.38,1,1,2,0
1636,20,Male,43332.11928,Monthly,84.92515353,Mexican,Breakfast,3,Celebration,Takeaway,0,1,0,39.08,1,2,1,0
1684,18,Female,125752.1173,Monthly,188.2663208,Indian,Breakfast,5,Celebration,Dine-in,0,0,0,41.56,1,1,2,0
1696,31,Male,131717.4042,Monthly,174.2598295,Indian,Breakfast,2,Celebration,Dine-in,0,1,0,1.24,1,2,1,0
1725,29,Male,138539.2041,Monthly,176.2140859,Chinese,Lunch,9,Casual,Takeaway,0,1,1,8.37,1,1,2,0
1728,31,Male,91246.3341,Weekly,152.8279309,Italian,Lunch,1,Casual,Takeaway,1,0,0,5.54,1,1,2,0
1762,50,Female,20759.1552,Rarely,43.61066197,Chinese,Dinner,3,Business,Dine-in,0,0,0,32.51,1,2,1,0
1802,59,Female,38789.52532,Weekly,67.59618334,Italian,Lunch,6,Casual,Dine-in,0,1,0,56.79,2,1,1,0
1825,61,Female,118672.9571,Rarely,186.6202657,Italian,Lunch,1,Casual,Takeaway,0,0,1,57.6,2,1,1,0
1831,24,Female,131994.3019,Rarely,155.1519723,Mexican,Lunch,3,Casual,Dine-in,0,0,1,56.05,1,1,2,0
1832,54,Female,17036.04446,Monthly,48.32344199,Italian,Lunch,8,Business,Dine-in,0,0,0,6.63,2,1,1,0
1858,58,Male,123515.3004,Rarely,152.513086,Chinese,Dinner,2,Business,Dine-in,0,0,1,10.87,2,1,1,0
1860,22,Female,42264.04156,Monthly,92.19887833,Indian,Dinner,2,Celebration,Dine-in,1,0,0,1.74,1,1,2,0
1946,30,Female,33635.64544,Weekly,68.03002178,Indian,Breakfast,4,Business,Takeaway,0,0,1,59.25,1,1,2,0
2001,26,Male,148060.5996,Monthly,163.0973757,Indian,Breakfast,3,Casual,Dine-in,0,1,0,52.95,1,1,2,0
2102,57,Male,84728.41536,Monthly,156.0510384,Italian,Lunch,3,Celebration,Dine-in,0,1,1,34.96,1,1,2,0
662,27,Male,147290.6281,Weekly,154.1440689,Indian,Breakfast,5,Celebration,Takeaway,0,1,0,39.57,2,2,1,0
674,27,Female,48778.24384,Weekly,69.75033696,Chinese,Dinner,5,Celebration,Dine-in,0,0,0,9.87,1,1,3,0
684,68,Female,84131.46694,Weekly,155.1988625,Chinese,Lunch,3,Business,Dine-in,0,1,1,27,3,1,1,0
687,65,Female,87641.44536,Rarely,134.6239741,Italian,Lunch,3,Celebration,Takeaway,0,0,0,42.01,1,2,2,0
698,50,Female,116557.39,Rarely,150.7878794,American,Lunch,8,Celebration,Dine-in,0,1,0,30.48,1,2,2,0
707,22,Female,49151.38144,Weekly,79.15119646,Mexican,Dinner,4,Casual,Dine-in,1,0,1,17.64,1,2,2,0
722,35,Male,35192.18013,Monthly,37.00454143,Indian,Breakfast,6,Casual,Dine-in,0,0,1,17.2,3,1,1,0
771,66,Male,41664.60981,Weekly,73.1320895,American,Lunch,7,Casual,Dine-in,0,0,1,3.81,1,2,2,0
797,59,Male,149929.1693,Weekly,174.883718,Mexican,Lunch,9,Celebration,Dine-in,0,0,0,49.36,3,1,1,0
817,50,Female,110557.5884,Rarely,154.5317801,American,Lunch,5,Celebration,Takeaway,0,1,1,58.76,2,2,1,0
845,53,Female,121288.994,Monthly,147.6209634,American,Breakfast,9,Casual,Dine-in,0,0,1,12.51,1,2,2,0
863,22,Female,80241.65745,Monthly,113.974707,Chinese,Dinner,2,Celebration,Takeaway,0,0,1,31.79,2,2,1,0
885,22,Male,140959.2929,Rarely,148.916832,Indian,Dinner,2,Business,Dine-in,1,1,1,19.4,3,1,1,0
904,29,Female,80594.58023,Weekly,134.7176771,Chinese,Lunch,7,Business,Dine-in,0,0,0,27.84,1,2,2,0
908,42,Male,116955.1502,Weekly,171.632026,Chinese,Dinner,9,Celebration,Takeaway,0,1,1,4.84,1,2,2,0
910,64,Female,153186.5557,Monthly,160.8755149,American,Dinner,2,Casual,Dine-in,0,0,1,41.75,1,1,3,0
936,64,Female,36596.08408,Monthly,45.67279626,Mexican,Breakfast,1,Celebration,Dine-in,0,1,0,44.74,2,2,1,0
941,50,Female,150614.586,Monthly,143.6484359,Italian,Lunch,5,Celebration,Dine-in,1,0,1,37.32,2,1,2,0
953,19,Female,48372.14421,Weekly,92.06311649,Chinese,Dinner,2,Celebration,Dine-in,0,0,0,34.81,1,2,2,0
996,26,Male,32207.83286,Rarely,35.66275092,Indian,Breakfast,8,Casual,Dine-in,1,0,0,17.4,1,1,3,0
998,67,Male,50169.80847,Monthly,113.6385639,American,Breakfast,2,Casual,Dine-in,0,1,0,26.87,2,2,1,0
1001,40,Female,40255.68113,Monthly,80.20825152,Indian,Breakfast,9,Celebration,Takeaway,0,1,1,48.73,3,1,1,0
1007,50,Female,27216.30735,Weekly,56.18154174,Mexican,Lunch,1,Celebration,Dine-in,0,1,0,10.49,1,3,1,0
1025,43,Female,118574.9915,Weekly,154.0107897,Indian,Breakfast,6,Casual,Takeaway,0,0,0,7.12,1,1,3,0
1038,57,Male,24457.33669,Weekly,39.23594243,Indian,Breakfast,6,Business,Takeaway,0,0,0,54.22,2,1,2,0
1041,48,Female,126556.8542,Rarely,156.5306104,Indian,Dinner,3,Celebration,Takeaway,0,1,0,59.7,3,1,1,0
1055,57,Male,146145.1249,Monthly,155.1318051,Mexican,Breakfast,5,Business,Takeaway,0,1,1,35.22,3,1,1,0
1062,55,Male,150022.4782,Monthly,186.0807499,Indian,Breakfast,4,Business,Takeaway,1,0,0,37.37,1,3,1,0
1072,67,Female,132716.4859,Rarely,177.1385618,Mexican,Breakfast,9,Casual,Takeaway,0,1,1,54.96,1,3,1,0
1074,31,Female,153747.7396,Weekly,155.1070019,Indian,Breakfast,1,Casual,Takeaway,0,1,0,28.51,2,1,2,0
1090,42,Female,29007.07773,Monthly,44.73739661,Chinese,Lunch,5,Business,Dine-in,0,0,0,10.56,1,3,1,0
1099,21,Female,93601.36274,Monthly,134.4738966,Indian,Lunch,9,Celebration,Takeaway,0,1,0,9.36,3,1,1,0
1112,19,Male,33192.75347,Rarely,80.14056809,Italian,Breakfast,7,Business,Takeaway,0,0,0,38.55,3,1,1,0
1113,58,Female,18610.61054,Monthly,58.50238914,American,Dinner,8,Business,Dine-in,0,0,0,38.9,2,1,2,0
1114,68,Female,57093.62566,Weekly,59.61105999,Chinese,Lunch,7,Business,Dine-in,1,0,0,12.91,1,3,1,0
1118,52,Male,132014.3598,Weekly,175.5660447,Italian,Breakfast,8,Business,Dine-in,0,1,1,12.79,1,2,2,0
1123,25,Male,63910.9088,Rarely,146.077701,Chinese,Dinner,1,Casual,Dine-in,1,1,1,9.16,2,1,2,0
1131,62,Male,43658.25077,Rarely,69.00526462,Chinese,Lunch,3,Casual,Takeaway,0,0,0,27.39,2,1,2,0
1138,50,Female,79679.24627,Weekly,131.9012505,Chinese,Breakfast,5,Casual,Takeaway,0,1,1,19.54,2,2,1,0
1156,53,Female,90426.16213,Rarely,142.8858008,American,Dinner,6,Business,Dine-in,0,0,0,27.75,2,2,1,0
1169,30,Male,151146.9561,Monthly,179.9717386,Indian,Dinner,2,Business,Dine-in,0,1,0,55.79,2,2,1,0
1173,33,Male,68675.93562,Weekly,100.7774161,Italian,Lunch,5,Celebration,Takeaway,0,1,0,0.09,2,1,2,0
1178,66,Female,43259.70422,Weekly,66.33487844,Indian,Dinner,7,Celebration,Dine-in,1,0,1,54.86,1,2,2,0
1188,54,Female,146197.8195,Monthly,195.0220991,Mexican,Lunch,2,Celebration,Dine-in,0,1,0,43.24,2,2,1,0
1198,44,Female,61761.7775,Monthly,109.2158007,Italian,Breakfast,4,Business,Takeaway,0,1,1,6.81,3,1,1,0
1199,27,Male,28669.52372,Monthly,61.56030667,Mexican,Breakfast,2,Casual,Takeaway,0,0,0,23.57,1,2,2,0
1206,27,Female,154550.9103,Monthly,187.5788351,Indian,Breakfast,9,Business,Dine-in,0,1,0,8.05,1,2,2,0
1212,38,Female,43098.26071,Monthly,91.80561329,Italian,Breakfast,6,Celebration,Takeaway,1,0,0,0.3,1,2,2,0
1244,48,Male,139532.8312,Weekly,173.7274476,Italian,Lunch,2,Celebration,Dine-in,0,0,1,35.73,1,3,1,0
1272,30,Female,83787.04616,Rarely,97.79666341,Chinese,Breakfast,8,Business,Takeaway,0,0,1,40.66,1,1,3,0
1276,42,Male,49353.12248,Weekly,89.3573962,Mexican,Dinner,7,Casual,Dine-in,1,1,0,44.65,1,1,3,0
1314,21,Female,20991.68997,Weekly,25.40542043,Mexican,Dinner,2,Business,Takeaway,0,1,0,24.88,2,1,2,0
1350,57,Male,145632.6651,Rarely,169.6888721,Italian,Breakfast,1,Celebration,Takeaway,0,0,0,11.97,1,2,2,0
1371,54,Male,99422.50881,Rarely,132.2386739,Indian,Lunch,4,Casual,Takeaway,0,0,0,50.25,1,2,2,0
1373,21,Female,132726.2719,Weekly,148.719743,Mexican,Lunch,5,Business,Dine-in,0,0,0,4.94,1,1,3,0
1375,60,Female,98381.15804,Weekly,153.6645819,Chinese,Dinner,3,Casual,Takeaway,0,1,0,31.49,3,1,1,0
1397,20,Male,125343.4553,Weekly,156.8775839,American,Breakfast,3,Celebration,Dine-in,0,0,0,50.91,1,2,2,0
1435,31,Male,103588.2782,Rarely,172.9743535,Italian,Lunch,8,Celebration,Dine-in,1,0,0,18.58,2,1,2,0
1436,40,Male,84655.98926,Monthly,133.611094,Italian,Lunch,7,Casual,Dine-in,0,1,1,6.66,2,2,1,0
1469,34,Male,56453.19813,Rarely,126.0158661,Indian,Dinner,2,Casual,Takeaway,0,0,1,46.29,3,1,1,0
1470,46,Female,129120.2513,Monthly,196.969405,Indian,Breakfast,6,Casual,Takeaway,0,0,1,12.83,3,1,1,0
1475,54,Male,128338.7372,Rarely,178.749365,Italian,Lunch,4,Casual,Takeaway,0,1,0,29.69,2,1,2,0
1530,65,Male,138922.9435,Weekly,169.5223135,Indian,Lunch,2,Business,Dine-in,0,0,1,0.98,2,1,2,0
1539,55,Male,31530.53663,Weekly,27.66504665,American,Breakfast,7,Casual,Takeaway,0,0,0,44.8,2,1,2,0
1571,27,Male,76951.04562,Monthly,162.3758922,Indian,Lunch,2,Celebration,Dine-in,0,1,0,31.2,2,2,1,0
1588,67,Female,149122.0723,Weekly,193.0830792,Indian,Breakfast,6,Celebration,Dine-in,1,0,0,22.53,2,1,2,0
1594,50,Female,38026.47801,Rarely,94.72583904,Chinese,Lunch,4,Business,Takeaway,0,1,1,3.68,1,2,2,0
1602,66,Male,146584.0699,Rarely,156.0123433,American,Lunch,1,Celebration,Takeaway,0,1,0,41.8,1,1,3,0
1607,32,Male,43219.82302,Monthly,42.54240011,Italian,Dinner,2,Celebration,Dine-in,1,1,0,35.67,1,1,3,0
1609,65,Female,121264.4792,Monthly,196.6124616,American,Lunch,6,Casual,Takeaway,0,1,1,37.82,2,2,1,0
1616,21,Female,133531.6058,Rarely,151.2824895,Chinese,Dinner,1,Casual,Dine-in,0,1,1,47.69,1,2,2,0
1617,47,Female,77988.01879,Weekly,111.4133758,Indian,Breakfast,4,Business,Dine-in,0,0,0,44.57,1,3,1,0
1650,68,Female,71510.43263,Monthly,120.0403707,Mexican,Breakfast,2,Celebration,Takeaway,0,0,1,57.09,2,1,2,0
1655,47,Female,45601.16841,Rarely,96.01184661,Mexican,Lunch,8,Celebration,Dine-in,0,1,0,13.68,1,3,1,0
1664,31,Male,153264.9703,Rarely,196.4586606,Mexican,Breakfast,7,Celebration,Dine-in,1,1,1,12.02,2,2,1,0
1673,49,Male,49245.82973,Monthly,85.59593566,American,Lunch,9,Celebration,Takeaway,1,0,1,46.83,2,1,2,0
1686,39,Female,75688.11561,Weekly,132.9251265,Indian,Breakfast,8,Business,Takeaway,0,0,0,30.95,2,2,1,0
1729,34,Male,20792.21708,Rarely,40.43032974,Chinese,Dinner,2,Business,Takeaway,1,0,0,54.61,2,2,1,0
1737,19,Male,130379.7399,Monthly,187.4256888,American,Dinner,3,Business,Dine-in,0,0,0,9.23,2,2,1,0
1741,54,Male,26602.9458,Weekly,52.55019363,Indian,Breakfast,4,Celebration,Dine-in,1,0,1,53.08,1,3,1,0
1773,63,Male,104199.272,Rarely,157.3182232,Italian,Lunch,5,Business,Dine-in,0,1,1,1.88,2,2,1,0
1809,39,Female,81165.08545,Weekly,124.6752523,American,Dinner,8,Celebration,Takeaway,0,0,1,21.96,1,2,2,0
1854,27,Female,134517.1225,Rarely,164.3080852,Mexican,Lunch,3,Celebration,Takeaway,0,1,1,3.02,1,1,3,0
1869,44,Female,112835.7104,Weekly,131.4497349,Chinese,Breakfast,7,Casual,Takeaway,1,0,1,35.37,2,1,2,0
1891,62,Male,35956.05879,Monthly,53.41337834,American,Breakfast,9,Casual,Dine-in,0,0,1,48.06,1,1,3,0
1894,23,Female,67997.3613,Monthly,142.638655,Mexican,Lunch,8,Celebration,Takeaway,1,0,0,5.99,1,3,1,0
1923,48,Female,146013.4659,Monthly,184.4353342,Italian,Lunch,6,Business,Dine-in,0,1,0,23.46,3,1,1,0
1960,60,Female,37933.90579,Weekly,80.58400251,American,Breakfast,7,Casual,Takeaway,0,0,0,41.48,1,3,1,0
1965,49,Female,42494.8315,Monthly,54.90442159,Indian,Lunch,5,Celebration,Takeaway,1,1,1,1.39,1,2,2,0
1966,43,Female,52319.03775,Weekly,83.21851352,Indian,Breakfast,3,Celebration,Takeaway,1,0,0,51.18,2,1,2,0
1968,48,Male,66973.7631,Weekly,136.7855704,American,Dinner,4,Business,Takeaway,0,0,0,13.19,1,3,1,0
1970,22,Male,67327.43168,Weekly,161.8306673,Mexican,Dinner,7,Celebration,Takeaway,0,0,1,5.32,1,2,2,0
1987,36,Male,105215.6307,Rarely,151.2000692,Italian,Lunch,1,Celebration,Dine-in,0,0,0,37.83,2,1,2,0
2004,54,Female,99282.43487,Rarely,165.2473121,Chinese,Lunch,7,Celebration,Takeaway,1,0,0,31.5,1,2,2,0
2021,60,Female,61372.6602,Monthly,132.7831908,American,Lunch,3,Casual,Takeaway,0,0,1,6.59,2,1,2,0
2023,18,Male,76307.98643,Monthly,168.159805,Italian,Dinner,2,Casual,Dine-in,1,0,0,5.09,1,3,1,0
2043,40,Male,112584.9106,Monthly,158.7898898,Chinese,Lunch,2,Business,Dine-in,0,0,1,14.91,1,3,1,0
2149,39,Male,124887.4644,Monthly,138.1548052,American,Lunch,2,Business,Dine-in,0,1,1,7.21,1,2,2,0
655,19,Male,42931.67849,Rarely,64.10814284,American,Dinner,1,Casual,Dine-in,0,0,0,57.52,1,2,3,0
660,20,Female,139000.0641,Weekly,161.9338745,Indian,Lunch,6,Business,Dine-in,0,0,0,7.93,2,3,1,0
663,32,Female,138857.8002,Weekly,207.3953008,Italian,Lunch,9,Casual,Takeaway,0,0,0,20.78,2,3,1,0
664,21,Male,76931.91154,Monthly,120.6431089,American,Breakfast,5,Business,Takeaway,0,1,0,18.95,1,2,2,0
679,40,Female,38653.61295,Weekly,62.3474862,Chinese,Breakfast,1,Casual,Dine-in,1,1,1,20.9,2,2,1,0
689,46,Male,78662.78175,Weekly,105.1529693,Indian,Dinner,2,Celebration,Takeaway,0,0,1,43.48,2,2,1,0
690,38,Female,36813.31798,Rarely,83.82600107,Italian,Lunch,1,Celebration,Dine-in,0,0,1,45.12,2,2,1,0
692,23,Female,63786.06976,Weekly,102.2608316,Mexican,Lunch,8,Business,Dine-in,0,1,1,42.91,2,1,2,0
702,28,Female,139387.0914,Weekly,157.1708028,Indian,Dinner,8,Celebration,Takeaway,0,0,0,57.83,2,2,2,0
704,48,Female,108290.4198,Weekly,155.2784592,Italian,Breakfast,2,Celebration,Takeaway,1,1,0,52.07,1,1,3,0
706,46,Female,69932.39,Weekly,107.8601741,Mexican,Lunch,8,Business,Dine-in,0,0,1,11.25,2,2,2,0
708,36,Female,154809.9976,Monthly,186.0252111,American,Dinner,6,Celebration,Takeaway,1,0,1,5.41,2,3,1,0
727,34,Male,146465.2183,Monthly,147.334182,Italian,Dinner,4,Celebration,Takeaway,1,1,1,17.37,3,1,2,0
735,55,Male,149004.5629,Monthly,169.3363735,Mexican,Lunch,6,Celebration,Dine-in,0,0,0,37.96,1,3,2,0
739,40,Female,130547.2148,Rarely,172.0810561,Mexican,Breakfast,6,Celebration,Takeaway,1,1,0,41.7,1,2,3,0
756,62,Male,114008.4274,Rarely,175.5403582,Mexican,Dinner,1,Casual,Dine-in,0,0,0,53.04,2,1,3,0
760,65,Male,86263.92951,Weekly,126.4467032,Italian,Breakfast,9,Business,Takeaway,0,1,1,50,2,3,1,0
763,31,Male,77247.77042,Monthly,112.426465,Mexican,Breakfast,3,Celebration,Dine-in,1,1,0,37.32,1,1,3,0
770,60,Male,92103.44115,Rarely,133.3775291,Italian,Dinner,5,Business,Takeaway,1,0,0,31.57,1,2,3,0
784,68,Female,86528.68284,Monthly,176.8073282,Mexican,Lunch,9,Celebration,Dine-in,1,0,0,39.24,2,3,1,0
821,59,Female,75599.96491,Rarely,131.0822508,Mexican,Lunch,8,Celebration,Takeaway,1,0,0,26.07,1,2,1,0
822,39,Male,79815.05942,Monthly,147.4162003,Mexican,Lunch,8,Business,Dine-in,0,1,1,51.68,1,3,2,0
840,23,Male,58740.18812,Rarely,113.423827,Italian,Lunch,5,Business,Dine-in,1,1,0,51.46,2,1,3,0
842,65,Female,78537.03141,Rarely,124.5628787,Mexican,Breakfast,7,Celebration,Takeaway,1,0,0,33.41,3,1,2,0
851,28,Female,136662.6255,Rarely,172.9825503,Chinese,Breakfast,8,Business,Takeaway,0,1,0,58.99,1,2,3,0
853,59,Male,98374.14851,Monthly,174.0458178,Italian,Breakfast,8,Business,Takeaway,0,0,0,44.77,3,2,1,0
859,54,Male,109567.8748,Monthly,156.8474235,Mexican,Lunch,9,Casual,Takeaway,0,0,1,50.25,3,1,2,0
867,65,Male,87051.95626,Weekly,152.3442168,Chinese,Lunch,6,Celebration,Dine-in,1,0,0,12.44,2,3,1,0
875,23,Female,103791.674,Monthly,154.5645332,American,Breakfast,6,Business,Dine-in,0,0,0,4.66,2,1,3,0
877,34,Male,63336.42064,Rarely,165.3536748,Chinese,Breakfast,4,Celebration,Dine-in,1,1,0,38.11,2,1,1,0
880,28,Male,21334.4001,Monthly,54.37036555,Italian,Lunch,3,Business,Takeaway,1,0,0,49.39,3,2,1,0
909,45,Male,32973.82964,Rarely,77.68658545,Chinese,Dinner,4,Casual,Dine-in,0,0,0,46.53,1,1,2,0
913,55,Female,25549.17027,Weekly,53.90914454,American,Dinner,7,Celebration,Takeaway,0,0,1,45.73,3,1,1,0
920,69,Female,140342.0565,Weekly,175.8294272,Italian,Lunch,3,Celebration,Dine-in,1,1,0,30.15,3,2,1,0
921,51,Male,91642.29311,Weekly,131.0611419,Mexican,Lunch,8,Business,Dine-in,0,0,0,49.34,3,2,1,0
924,25,Male,33561.36645,Monthly,74.15602446,Italian,Lunch,2,Casual,Dine-in,0,0,1,42.42,3,1,2,0
926,67,Male,123463.8188,Weekly,128.8035064,Italian,Breakfast,2,Business,Dine-in,0,0,0,29.12,1,2,3,0
932,62,Female,112522.0104,Monthly,160.8769778,American,Dinner,9,Business,Dine-in,0,1,0,10.69,2,3,1,0
933,26,Female,61184.43202,Rarely,117.0457902,Indian,Dinner,9,Business,Dine-in,1,0,1,22.64,3,1,2,0
951,56,Male,123637.4976,Weekly,161.8097414,Mexican,Breakfast,4,Business,Takeaway,0,1,1,8.73,2,1,1,0
993,54,Male,70737.37724,Weekly,123.9488314,Indian,Lunch,2,Business,Dine-in,0,1,1,25.15,1,3,2,0
